buying_format,category,item_custom_info,item_url,thumbnail_url,title
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41224864/john-deere-5400.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41224864/41224864_1617082402_684.jpg,John Deere 5400
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41224862/john-deere-5400.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41224862/41224862_1617082395_494.jpg,John Deere 5400
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41223159/new-holland-tn95va.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41223159/41223159_1617079018_117.jpg,New Holland TN95VA
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41223158/new-holland-tn75va.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41223158/41223158_1617079014_620.jpg,New Holland TN75VA
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41223157/new-holland-tk4050.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41223157/41223157_1617079011_599.jpg,New Holland TK4050
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41222135/kubota-m6030dt.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41222135/41222135_1617077154_45.jpg,Kubota M6030DT
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41222133/kubota-m7030dt.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41222133/41222133_1617077147_496.jpg,Kubota M7030DT
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41221395/john-deere-4430.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41221395/41221395_1617075610_154.jpg,John Deere 4430
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41221255/john-deere-5083en.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41221255/41221255_1617075327_660.jpg,John Deere 5083EN
sale,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/used/farm-tractors/41217141/case-ih-magnum-290.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/488957/41217141/41217141_1617059124_594.jpg,Case IH MAGNUM 290
